,Unnamed: 0,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
77,77,Becej,Juznobacka oblast,Bečej,Južnobačka oblast,2018,486 km2,377 ha,0.8 %,5 Broj,73 Broj,14104 Broj,35266 Broj,17364 Broj,17902 Broj,0.97 Odnos,1.03 Odnos,2337 Broj,6.6 %,2985 Broj,8.5 %,1628 Broj,4.6 %,28708 Broj,81.4 %,6271 Broj,17.8 %,23228 Broj,65.9 %,7424 Broj,21.1 %,6716 Broj,19 %,42.33 Broj,127.6 Indeks,342 Broj,9.7 ‰,577 Broj,16.36 ‰,1 Broj,2.9 ‰,-235 Broj,-6.66 ‰,59.27 Indeks,1.66 Koeficijent,70.2 Broj,76.1 Broj,51.8 Broj,22.9 Broj,28.9 Broj,229 Broj,82 Broj,2.8 Broj,10 Broj,112.52 km,0.2 km,8986 Broj,255 Broj,13240 Broj,93.9 %,4814 Broj,34.1 %,16 Broj,0.5 Broj,52.8 %,30.6 %
78,78,Becej,Juznobacka oblast,Bečej,Južnobačka oblast,2019,486 km2,377 ha,0.8 %,5 Broj,72 Broj,14104 Broj,34983 Broj,17232 Broj,17751 Broj,0.97 Odnos,1.03 Odnos,2326 Broj,6.6 %,2936 Broj,8.4 %,1629 Broj,4.7 %,28491 Broj,81.4 %,6225 Broj,17.8 %,22925 Broj,65.5 %,7361 Broj,21 %,6796 Broj,19.4 %,42.42 Broj,128.5 Indeks,281 Broj,8.03 ‰,591 Broj,16.89 ‰,0 Broj,0 ‰,-310 Broj,-8.86 ‰,47.55 Indeks,1.38 Koeficijent,70.5 Broj,75.9 Broj,52.6 Broj,23 Broj,29.6 Broj,198 Broj,97 Broj,2 Broj,-33 Broj,112.52 km,0.2 km,9195 Broj,263 Broj,13240 Broj,93.9 %,4862 Broj,34.5 %,21 Broj,0.6 Broj,52.8 %,30.6 %
79,79,Becej,Juznobacka oblast,Bečej,Južnobačka oblast,2020,486 km2,516.37 ha,1.1 %,5 Broj,71 Broj,14104 Broj,34675 Broj,17072 Broj,17603 Broj,0.97 Odnos,1.03 Odnos,2291 Broj,6.6 %,2895 Broj,8.3 %,1623 Broj,4.7 %,28294 Broj,81.6 %,6181 Broj,17.8 %,22633 Broj,65.3 %,7302 Broj,21.1 %,6856 Broj,19.8 %,42.47 Broj,129.3 Indeks,321 Broj,9.26 ‰,632 Broj,18.23 ‰,3 Broj,9.3 ‰,-311 Broj,-8.97 ‰,50.79 Indeks,1.6 Koeficijent,69.7 Broj,75.9 Broj,53.2 Broj,22.9 Broj,30.3 Broj,151 Broj,92 Broj,1.6 Broj,39 Broj,112.52 km,0.2 km,9492 Broj,274 Broj,13240 Broj,93.9 %,4898 Broj,34.7 %,21 Broj,0.6 Broj,53.6 %,38.9 %
80,80,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2011,353 km2,712.76 ha,2 %,14 Broj,49 Broj,6040 Broj,17434 Broj,8581 Broj,8853 Broj,0.97 Odnos,1.03 Odnos,1118 Broj,6.4 %,1500 Broj,8.6 %,871 Broj,5 %,14153 Broj,81.2 %,3111 Broj,17.8 %,11983 Broj,68.7 %,3627 Broj,20.8 %,2833 Broj,16.2 %,42.11 Broj,117.8 Indeks,161 Broj,9.23 ‰,320 Broj,18.35 ‰,0 Broj,0 ‰,-159 Broj,-9.12 ‰,50.31 Indeks,1.62 Koeficijent,68.3 Broj,74 Broj,45.5 Broj,21.8 Broj,23.6 Broj,87 Broj,22 Broj,4 Broj,-110 Broj,86.4 km,0.2 km,3501 Broj,201 Broj,5149 Broj,85.2 %,3675 Broj,60.8 %,32 Broj,1.8 Broj,58.4 %,12.1 %
81,81,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2012,353 km2,712.76 ha,2 %,14 Broj,49 Broj,6040 Broj,17215 Broj,8496 Broj,8719 Broj,0.97 Odnos,1.03 Odnos,1084 Broj,6.3 %,1466 Broj,8.5 %,874 Broj,5.1 %,14004 Broj,81.3 %,3078 Broj,17.9 %,11819 Broj,68.7 %,3569 Broj,20.7 %,2846 Broj,16.5 %,42.26 Broj,121 Indeks,130 Broj,7.55 ‰,287 Broj,16.67 ‰,0 Broj,0 ‰,-157 Broj,-9.12 ‰,45.3 Indeks,1.32 Koeficijent,68.7 Broj,73.5 Broj,45.7 Broj,21.6 Broj,24.1 Broj,65 Broj,25 Broj,2.6 Broj,-10 Broj,106.03 km,0.3 km,3606 Broj,209 Broj,5149 Broj,85.2 %,3678 Broj,60.9 %,7 Broj,0.4 Broj,61.4 %,0 %
82,82,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2013,353 km2,712.76 ha,2 %,14 Broj,48 Broj,6040 Broj,17034 Broj,8418 Broj,8616 Broj,0.98 Odnos,1.02 Odnos,1046 Broj,6.1 %,1440 Broj,8.5 %,857 Broj,5 %,13913 Broj,81.7 %,3049 Broj,17.9 %,11609 Broj,68.2 %,3527 Broj,20.7 %,2939 Broj,17.3 %,42.46 Broj,125.6 Indeks,130 Broj,7.63 ‰,283 Broj,16.61 ‰,2 Broj,15.4 ‰,-153 Broj,-8.98 ‰,45.94 Indeks,1.38 Koeficijent,69.5 Broj,74.8 Broj,46.7 Broj,21.4 Broj,25.3 Broj,78 Broj,32 Broj,2.4 Broj,-43 Broj,79.63 km,0.2 km,3660 Broj,215 Broj,5149 Broj,85.2 %,3723 Broj,61.6 %,1 Broj,0.1 Broj,61.4 %,0 %
83,83,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2014,353 km2,2589.4 ha,7.3 %,14 Broj,48 Broj,6040 Broj,16844 Broj,8341 Broj,8503 Broj,0.98 Odnos,1.02 Odnos,1006 Broj,6 %,1431 Broj,8.5 %,799 Broj,4.7 %,13834 Broj,82.1 %,2984 Broj,17.7 %,11355 Broj,67.4 %,3475 Broj,20.6 %,3052 Broj,18.1 %,42.73 Broj,131.2 Indeks,119 Broj,7.06 ‰,244 Broj,14.49 ‰,0 Broj,0 ‰,-125 Broj,-7.42 ‰,48.77 Indeks,1.27 Koeficijent,70.9 Broj,75.5 Broj,48.3 Broj,21.5 Broj,26.9 Broj,90 Broj,43 Broj,2.1 Broj,-59 Broj,79.63 km,0.2 km,3678 Broj,218 Broj,5149 Broj,85.2 %,3741 Broj,61.9 %,0 Broj,0 Broj,61.4 %,0 %
84,84,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2015,353 km2,2589.4 ha,7.3 %,14 Broj,47 Broj,6040 Broj,16652 Broj,8274 Broj,8378 Broj,0.99 Odnos,1.01 Odnos,975 Broj,5.9 %,1402 Broj,8.4 %,744 Broj,4.5 %,13745 Broj,82.5 %,2927 Broj,17.6 %,11125 Broj,66.8 %,3428 Broj,20.6 %,3150 Broj,18.9 %,42.98 Broj,137.7 Indeks,122 Broj,7.33 ‰,281 Broj,16.87 ‰,1 Broj,8.2 ‰,-159 Broj,-9.55 ‰,43.42 Indeks,1.31 Koeficijent,71.5 Broj,75.5 Broj,49.7 Broj,21.4 Broj,28.3 Broj,79 Broj,40 Broj,2 Broj,-40 Broj,79.63 km,0.2 km,3716 Broj,223 Broj,5149 Broj,85.2 %,3747 Broj,62 %,13 Broj,0.8 Broj,61.4 %,0 %
85,85,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2016,353 km2,2589.4 ha,7.3 %,14 Broj,47 Broj,6040 Broj,16471 Broj,8197 Broj,8274 Broj,0.99 Odnos,1.01 Odnos,963 Broj,5.8 %,1356 Broj,8.2 %,719 Broj,4.4 %,13623 Broj,82.7 %,2902 Broj,17.6 %,10937 Broj,66.4 %,3404 Broj,20.7 %,3215 Broj,19.5 %,43.15 Broj,143.7 Indeks,132 Broj,8.01 ‰,290 Broj,17.61 ‰,1 Broj,7.6 ‰,-158 Broj,-9.59 ‰,45.52 Indeks,1.41 Koeficijent,72.3 Broj,75.2 Broj,50.6 Broj,21.2 Broj,29.4 Broj,71 Broj,24 Broj,3 Broj,-7 Broj,79.63 km,0.2 km,3805 Broj,231 Broj,5149 Broj,85.2 %,3753 Broj,62.1 %,11 Broj,0.7 Broj,61.6 %,33.3 %
86,86,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2017,353 km2,2665.01 ha,7.5 %,14 Broj,46 Broj,6040 Broj,16297 Broj,8126 Broj,8171 Broj,0.99 Odnos,1.01 Odnos,936 Broj,5.7 %,1332 Broj,8.2 %,711 Broj,4.4 %,13480 Broj,82.7 %,2877 Broj,17.7 %,10750 Broj,66 %,3380 Broj,20.7 %,3279 Broj,20.1 %,43.29 Broj,148.2 Indeks,119 Broj,7.3 ‰,293 Broj,17.98 ‰,2 Broj,16.8 ‰,-174 Broj,-10.68 ‰,40.61 Indeks,1.32 Koeficijent,71.7 Broj,74.3 Broj,51.6 Broj,21.1 Broj,30.5 Broj,81 Broj,29 Broj,2.8 Broj,-9 Broj,86.27 km,0.2 km,3868 Broj,237 Broj,5149 Broj,85.2 %,3769 Broj,62.4 %,8 Broj,0.5 Broj,61.6 %,33.3 %
87,87,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2018,353 km2,2665.01 ha,7.5 %,14 Broj,46 Broj,6040 Broj,16136 Broj,8065 Broj,8071 Broj,1 Odnos,1 Odnos,898 Broj,5.6 %,1304 Broj,8.1 %,734 Broj,4.5 %,13374 Broj,82.9 %,2860 Broj,17.7 %,10572 Broj,65.5 %,3334 Broj,20.7 %,3362 Broj,20.8 %,43.51 Broj,152.2 Indeks,122 Broj,7.56 ‰,230 Broj,14.25 ‰,0 Broj,0 ‰,-108 Broj,-6.69 ‰,53.04 Indeks,1.35 Koeficijent,71.8 Broj,74.9 Broj,52.6 Broj,20.8 Broj,31.8 Broj,88 Broj,17 Broj,5.2 Broj,-30 Broj,86.27 km,0.2 km,3888 Broj,241 Broj,5149 Broj,85.2 %,3780 Broj,62.6 %,15 Broj,0.9 Broj,61.6 %,33.3 %
88,88,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2019,353 km2,2665.01 ha,7.5 %,14 Broj,45 Broj,6040 Broj,15973 Broj,7992 Broj,7981 Broj,1 Odnos,1 Odnos,868 Broj,5.4 %,1265 Broj,7.9 %,737 Broj,4.6 %,13294 Broj,83.2 %,2840 Broj,17.8 %,10403 Broj,65.1 %,3288 Broj,20.6 %,3437 Broj,21.5 %,43.78 Broj,155.6 Indeks,120 Broj,7.51 ‰,267 Broj,16.72 ‰,3 Broj,25 ‰,-147 Broj,-9.2 ‰,44.94 Indeks,1.36 Koeficijent,71.2 Broj,75.7 Broj,53.5 Broj,20.5 Broj,33 Broj,108 Broj,28 Broj,3.9 Broj,-40 Broj,86.27 km,0.2 km,4042 Broj,253 Broj,5149 Broj,85.2 %,3788 Broj,62.7 %,11 Broj,0.7 Broj,61.6 %,33.3 %
89,89,Bela Crkva,Juznobanatska oblast,Bela Crkva,Južnobanatska oblast,2020,353 km2,2688 ha,7.6 %,14 Broj,45 Broj,6040 Broj,15790 Broj,7911 Broj,7879 Broj,1 Odnos,1 Odnos,857 Broj,5.4 %,1211 Broj,7.7 %,726 Broj,4.6 %,13179 Broj,83.5 %,2822 Broj,17.9 %,10227 Broj,64.8 %,3252 Broj,20.6 %,3495 Broj,22.1 %,43.91 Broj,158.7 Indeks,130 Broj,8.23 ‰,289 Broj,18.3 ‰,2 Broj,15.4 ‰,-159 Broj,-10.07 ‰,44.98 Indeks,1.5 Koeficijent,71.1 Broj,76 Broj,54.4 Broj,20.2 Broj,34.2 Broj,58 Broj,22 Broj,2.6 Broj,-21 Broj,86.27 km,0.2 km,4161 Broj,264 Broj,5200 Broj,86.1 %,3788 Broj,62.7 %,13 Broj,0.8 Broj,56.9 %,48.5 %
90,90,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2011,185 km2,6676.93 ha,36.1 %,8 Broj,85 Broj,5516 Broj,15716 Broj,7807 Broj,7909 Broj,0.99 Odnos,1.01 Odnos,1128 Broj,7.2 %,1358 Broj,8.6 %,771 Broj,4.9 %,12655 Broj,80.5 %,2989 Broj,19 %,10862 Broj,69.1 %,3479 Broj,22.1 %,2368 Broj,15.1 %,40.68 Broj,99.2 Indeks,141 Broj,8.97 ‰,186 Broj,11.84 ‰,2 Broj,14.2 ‰,-45 Broj,-2.86 ‰,75.81 Indeks,1.46 Koeficijent,70.9 Broj,77.7 Broj,44.7 Broj,22.9 Broj,21.8 Broj,89 Broj,12 Broj,7.4 Broj,43 Broj,89.06 km,0.5 km,3265 Broj,208 Broj,4931 Broj,89.4 %,3250 Broj,58.9 %,7 Broj,0.4 Broj,70.1 %,17.1 %
91,91,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2012,185 km2,6676.93 ha,36.1 %,8 Broj,85 Broj,5516 Broj,15656 Broj,7780 Broj,7876 Broj,0.99 Odnos,1.01 Odnos,1102 Broj,7 %,1361 Broj,8.7 %,740 Broj,4.7 %,12649 Broj,80.8 %,2949 Broj,18.8 %,10789 Broj,68.9 %,3433 Broj,21.9 %,2404 Broj,15.4 %,40.9 Broj,103.3 Indeks,132 Broj,8.43 ‰,227 Broj,14.5 ‰,0 Broj,0 ‰,-95 Broj,-6.07 ‰,58.15 Indeks,1.36 Koeficijent,71.6 Broj,77.7 Broj,45.1 Broj,22.8 Broj,22.3 Broj,76 Broj,15 Broj,5.1 Broj,-23 Broj,95.76 km,0.5 km,3406 Broj,218 Broj,5285 Broj,95.8 %,3250 Broj,58.9 %,28 Broj,1.8 Broj,68.9 %,34.5 %
92,92,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2013,184 km2,6676.93 ha,36.3 %,8 Broj,85 Broj,5516 Broj,15551 Broj,7716 Broj,7835 Broj,0.98 Odnos,1.02 Odnos,1059 Broj,6.8 %,1364 Broj,8.8 %,709 Broj,4.6 %,12607 Broj,81.1 %,2896 Broj,18.6 %,10695 Broj,68.8 %,3391 Broj,21.8 %,2433 Broj,15.6 %,41.17 Broj,107.4 Indeks,137 Broj,8.81 ‰,197 Broj,12.67 ‰,1 Broj,7.3 ‰,-60 Broj,-3.86 ‰,69.54 Indeks,1.47 Koeficijent,70.3 Broj,77.4 Broj,45.4 Broj,22.7 Broj,22.7 Broj,77 Broj,9 Broj,8.6 Broj,-32 Broj,101.97 km,0.6 km,3430 Broj,221 Broj,5320 Broj,96.4 %,3250 Broj,58.9 %,1 Broj,0.1 Broj,68.9 %,34.5 %
93,93,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2014,184 km2,7374.12 ha,40.1 %,8 Broj,84 Broj,5516 Broj,15428 Broj,7652 Broj,7776 Broj,0.98 Odnos,1.02 Odnos,1026 Broj,6.7 %,1360 Broj,8.8 %,684 Broj,4.4 %,12538 Broj,81.3 %,2839 Broj,18.4 %,10559 Broj,68.4 %,3331 Broj,21.6 %,2483 Broj,16.1 %,41.44 Broj,111.6 Indeks,128 Broj,8.3 ‰,230 Broj,14.91 ‰,0 Broj,0 ‰,-102 Broj,-6.61 ‰,55.65 Indeks,1.39 Koeficijent,70 Broj,77.7 Broj,46.1 Broj,22.6 Broj,23.5 Broj,78 Broj,18 Broj,4.3 Broj,-52 Broj,101.97 km,0.6 km,3472 Broj,225 Broj,5470 Broj,99.2 %,3250 Broj,58.9 %,12 Broj,0.8 Broj,68.9 %,34.5 %
94,94,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2015,184 km2,7374.12 ha,40.1 %,8 Broj,83 Broj,5516 Broj,15304 Broj,7601 Broj,7703 Broj,0.99 Odnos,1.01 Odnos,985 Broj,6.4 %,1359 Broj,8.9 %,668 Broj,4.4 %,12463 Broj,81.4 %,2777 Broj,18.1 %,10416 Broj,68.1 %,3270 Broj,21.4 %,2544 Broj,16.6 %,41.74 Broj,115.7 Indeks,114 Broj,7.45 ‰,201 Broj,13.13 ‰,1 Broj,8.8 ‰,-87 Broj,-5.68 ‰,56.72 Indeks,1.28 Koeficijent,70.6 Broj,77.3 Broj,46.9 Broj,22.5 Broj,24.4 Broj,79 Broj,17 Broj,4.6 Broj,-7 Broj,101.97 km,0.6 km,3551 Broj,232 Broj,5475 Broj,99.3 %,3250 Broj,58.9 %,6 Broj,0.4 Broj,68.9 %,34.5 %
95,95,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2016,184 km2,7374.12 ha,40.1 %,8 Broj,83 Broj,5516 Broj,15229 Broj,7569 Broj,7660 Broj,0.99 Odnos,1.01 Odnos,947 Broj,6.2 %,1354 Broj,8.9 %,665 Broj,4.4 %,12431 Broj,81.6 %,2737 Broj,18 %,10318 Broj,67.8 %,3234 Broj,21.2 %,2610 Broj,17.1 %,42.03 Broj,119.7 Indeks,132 Broj,8.67 ‰,207 Broj,13.59 ‰,3 Broj,22.7 ‰,-75 Broj,-4.92 ‰,63.77 Indeks,1.49 Koeficijent,70.9 Broj,76.2 Broj,47.6 Broj,22.3 Broj,25.3 Broj,66 Broj,14 Broj,4.7 Broj,19 Broj,101.97 km,0.6 km,3620 Broj,238 Broj,5475 Broj,99.3 %,3250 Broj,58.9 %,12 Broj,0.8 Broj,67.5 %,32 %
96,96,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2017,184 km2,9393.57 ha,51.1 %,8 Broj,82 Broj,5516 Broj,15155 Broj,7551 Broj,7604 Broj,0.99 Odnos,1.01 Odnos,928 Broj,6.1 %,1326 Broj,8.7 %,675 Broj,4.5 %,12388 Broj,81.7 %,2706 Broj,17.9 %,10210 Broj,67.4 %,3192 Broj,21.1 %,2691 Broj,17.8 %,42.3 Broj,123.9 Indeks,127 Broj,8.38 ‰,201 Broj,13.26 ‰,0 Broj,0 ‰,-74 Broj,-4.88 ‰,63.18 Indeks,1.46 Koeficijent,71.7 Broj,76.2 Broj,48.4 Broj,22.1 Broj,26.4 Broj,76 Broj,25 Broj,3 Broj,-17 Broj,75.97 km,0.4 km,3806 Broj,251 Broj,5475 Broj,99.3 %,3250 Broj,58.9 %,14 Broj,0.9 Broj,67.5 %,32 %
97,97,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2018,184 km2,9393.57 ha,51.1 %,8 Broj,82 Broj,5516 Broj,15054 Broj,7512 Broj,7542 Broj,1 Odnos,1 Odnos,918 Broj,6.1 %,1285 Broj,8.5 %,692 Broj,4.6 %,12318 Broj,81.8 %,2662 Broj,17.7 %,10082 Broj,67 %,3141 Broj,20.9 %,2769 Broj,18.4 %,42.56 Broj,127.7 Indeks,125 Broj,8.3 ‰,219 Broj,14.55 ‰,0 Broj,0 ‰,-94 Broj,-6.24 ‰,57.08 Indeks,1.45 Koeficijent,71.4 Broj,76.7 Broj,49.3 Broj,21.9 Broj,27.5 Broj,68 Broj,15 Broj,4.5 Broj,-19 Broj,75.97 km,0.4 km,3889 Broj,258 Broj,5475 Broj,99.3 %,3250 Broj,58.9 %,22 Broj,1.5 Broj,67.5 %,32 %
98,98,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2019,184 km2,9393.57 ha,51.1 %,8 Broj,81 Broj,5516 Broj,14970 Broj,7478 Broj,7492 Broj,1 Odnos,1 Odnos,927 Broj,6.2 %,1251 Broj,8.4 %,698 Broj,4.7 %,12260 Broj,81.9 %,2624 Broj,17.5 %,9957 Broj,66.5 %,3081 Broj,20.6 %,2835 Broj,18.9 %,42.78 Broj,131 Indeks,144 Broj,9.62 ‰,199 Broj,13.29 ‰,0 Broj,0 ‰,-55 Broj,-3.67 ‰,72.36 Indeks,1.7 Koeficijent,71.4 Broj,77.3 Broj,50.3 Broj,21.9 Broj,28.5 Broj,64 Broj,25 Broj,2.6 Broj,1 Broj,75.97 km,0.4 km,4079 Broj,272 Broj,5475 Broj,99.3 %,3298 Broj,59.8 %,20 Broj,1.3 Broj,67.5 %,32 %
99,99,Beocin,Juznobacka oblast,Beočin,Južnobačka oblast,2020,184 km2,9341.2 ha,50.8 %,8 Broj,81 Broj,5516 Broj,14905 Broj,7461 Broj,7444 Broj,1 Odnos,1 Odnos,925 Broj,6.2 %,1219 Broj,8.2 %,694 Broj,4.7 %,12244 Broj,82.1 %,2606 Broj,17.5 %,9857 Broj,66.1 %,3041 Broj,20.4 %,2904 Broj,19.5 %,42.99 Broj,135.7 Indeks,133 Broj,8.92 ‰,214 Broj,14.36 ‰,0 Broj,0 ‰,-81 Broj,-5.43 ‰,62.15 Indeks,1.6 Koeficijent,71.7 Broj,77.6 Broj,51.2 Broj,21.8 Broj,29.5 Broj,76 Broj,19 Broj,4 Broj,6 Broj,75.97 km,0.4 km,4239 Broj,284 Broj,5475 Broj,99.3 %,3298 Broj,59.8 %,31 Broj,2.1 Broj,68.2 %,39.1 %
100,100,Coka,Severnobanatska oblast,Čoka,Severnobanatska oblast,2011,321 km2,263.99 ha,0.8 %,8 Broj,36 Broj,4663 Broj,11434 Broj,5690 Broj,5744 Broj,0.99 Odnos,1.01 Odnos,609 Broj,5.3 %,927 Broj,8.1 %,543 Broj,4.7 %,9493 Broj,83 %,1989 Broj,17.4 %,7750 Broj,67.8 %,2312 Broj,20.2 %,2148 Broj,18.8 %,43.41 Broj,136.3 Indeks,69 Broj,6.03 ‰,220 Broj,19.24 ‰,1 Broj,14.5 ‰,-151 Broj,-13.21 ‰,31.36 Indeks,1.18 Koeficijent,68.6 Broj,73.3 Broj,47.5 Broj,19.8 Broj,27.7 Broj,54 Broj,6 Broj,9 Broj,-49 Broj,71.08 km,0.2 km,2100 Broj,184 Broj,4448 Broj,95.4 %,842 Broj,18.1 %,0 Broj,0 Broj,65.4 %,28 %
101,101,Coka,Severnobanatska oblast,Čoka,Severnobanatska oblast,2012,321 km2,263.99 ha,0.8 %,8 Broj,35 Broj,4663 Broj,11247 Broj,5617 Broj,5630 Broj,1 Odnos,1 Odnos,575 Broj,5.1 %,908 Broj,8.1 %,531 Broj,4.7 %,9366 Broj,83.3 %,1968 Broj,17.5 %,7644 Broj,68 %,2254 Broj,20 %,2120 Broj,18.8 %,43.6 Broj,140.6 Indeks,91 Broj,8.09 ‰,221 Broj,19.65 ‰,3 Broj,33 ‰,-130 Broj,-11.56 ‰,41.18 Indeks,1.56 Koeficijent,67.5 Broj,72.7 Broj,47.1 Broj,19.4 Broj,27.7 Broj,43 Broj,21 Broj,2 Broj,-44 Broj,78.78 km,0.2 km,2177 Broj,194 Broj,4448 Broj,95.4 %,1005 Broj,21.6 %,0 Broj,0 Broj,63 %,48 %
102,102,Coka,Severnobanatska oblast,Čoka,Severnobanatska oblast,2013,321 km2,263.99 ha,0.8 %,8 Broj,35 Broj,4663 Broj,11080 Broj,5534 Broj,5546 Broj,1 Odnos,1 Odnos,560 Broj,5.1 %,893 Broj,8.1 %,513 Broj,4.6 %,9246 Broj,83.4 %,1943 Broj,17.5 %,7511 Broj,67.8 %,2207 Broj,19.9 %,2116 Broj,19.1 %,43.77 Broj,144.1 Indeks,77 Broj,6.95 ‰,214 Broj,19.31 ‰,1 Broj,13 ‰,-137 Broj,-12.36 ‰,35.98 Indeks,1.36 Koeficijent,68.3 Broj,73 Broj,47.5 Broj,19.3 Broj,28.2 Broj,56 Broj,19 Broj,2.9 Broj,-23 Broj,123.95 km,0.4 km,2239 Broj,202 Broj,4448 Broj,95.4 %,1008 Broj,21.6 %,0 Broj,0 Broj,63 %,48 %
103,103,Coka,Severnobanatska oblast,Čoka,Severnobanatska oblast,2014,321 km2,429.52 ha,1.3 %,8 Broj,34 Broj,4663 Broj,10938 Broj,5456 Broj,5482 Broj,1 Odnos,1 Odnos,563 Broj,5.1 %,861 Broj,7.9 %,496 Broj,4.5 %,9152 Broj,83.7 %,1916 Broj,17.5 %,7372 Broj,67.4 %,2171 Broj,19.8 %,2142 Broj,19.6 %,43.94 Broj,148.2 Indeks,85 Broj,7.77 ‰,198 Broj,18.1 ‰,1 Broj,11.8 ‰,-113 Broj,-10.33 ‰,42.93 Indeks,1.47 Koeficijent,67 Broj,73.9 Broj,48.4 Broj,19.3 Broj,29.1 Broj,45 Broj,15 Broj,3 Broj,-11 Broj,123.95 km,0.4 km,2214 Broj,202 Broj,4448 Broj,95.4 %,1023 Broj,21.9 %,1 Broj,0.1 Broj,63 %,48 %
